PMID,Year,Title,Journal,Host Species,Host Species Ontology ID,Host Species Ontology Candidates,Body Site,Body Site Ontology ID,Body Site Ontology Candidates,Condition,Condition Ontology ID,Condition Ontology Candidates,Sample Size,Sequencing Type,Differential Abundance,In bsgdb
29438602,,International Consensus Statement on Allergy and Rhinology: Allergic Rhinitis.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,,No,No
29161417,,"Bolus Weekly Vitamin D3 Supplementation Impacts Gut and Airway Microbiota in Adults With Cystic Fibrosis: A Double-Blind, Randomized, Placebo-Controlled Clinical Trial.",,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,23,16S,Yes,No
29248229,,"Breastfeeding-associated microbiota in human milk following supplementation with Lactobacillus rhamnosus GG, Lactobacillus acidophilus La-5, and Bifidobacterium animalis ssp. lactis Bb-12.",,Homo sapiens,NCBITaxon:9606,,,,,,,,142,16S,Yes,No
29353387,,Inter-individual variation in health and disease associated with pulmonary infectious agents.,,Mus musculus,NCBITaxon:10090,,,,,,,,,,Yes,No
29384870,,Diversity analysis of subgingival microbial bacteria in peri-implantitis in Uygur population.,,Homo sapiens,NCBITaxon:9606,,,,,,,,40,16S,Yes,No
29105287,,"Gut Microbiota Interacts with Markers of Adipose Tissue Browning, Insulin Action and Plasma Acetate in Morbid Obesity.",,Homo sapiens,NCBITaxon:9606,,,,,,,,34,,No,No
29432061,,Atorvastatin Treatment Modulates the Gut Microbiota of the Hypercholesterolemic Patients.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,16S,No,No
28618237,,Effect of Sweetened Dried Cranberry Consumption on Urinary Proteome and Fecal Microbiome in Healthy Human Subjects.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,,16S,No,No
29471566,,Mucosal-Associated Invariant T Cells in Chronic Inflammatory Liver Disease.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,,Yes,No
29168036,,"The gut microbiome, symptoms, and targeted interventions in children with cancer: a systematic review.",,Homo sapiens,NCBITaxon:9606,,,,,healthy,EFO:0000246,,,,Yes,No
29434076,,Differences in Gut Microbiota Profiles between Autoimmune Pancreatitis and Chronic Pancreatitis.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,12,other,Yes,No
29196292,,Gut Microbiota in Human Systemic Lupus Erythematosus and a Mouse Model of Lupus.,,Mus musculus,NCBITaxon:10090,,,,,arthritis disease activity score measurement,EFO:0009435,,,,No,No
29385143,,Longitudinal microbiome analysis of single donor fecal microbiota transplantation in patients with recurrent Clostridium difficile infection and/or ulcerative colitis.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,ulcerative colitis,EFO:0000729,,,16S,Yes,No
29382366,,Age and fecal microbial strain-specific differences in patients with spondyloarthritis.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,healthy,EFO:0000246,,11,16S,Yes,No
28969444,,Different physiological properties of human-residential and non-human-residential bifidobacteria in human health.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,,Yes,No
29081087,,Biotransformation of ,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,,,No,No
29361936,,"Vaginal dysbiosis increases risk of preterm fetal membrane rupture, neonatal sepsis and is exacerbated by erythromycin.",,Homo sapiens,NCBITaxon:9606,,,,,,,,,16S,Yes,No
29362454,,Nonalcoholic fatty liver disease is associated with dysbiosis independent of body mass index and insulin resistance.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,healthy,EFO:0000246,,,,No,No
29351278,,Analysis of the tonsillar microbiome in young adults with sore throat reveals a high relative abundance of Fusobacterium necrophorum with low diversity.,,Homo sapiens,NCBITaxon:9606,,,,,,,,9,,Yes,No
29361092,,"Safety, Clinical Response, and Microbiome Findings Following Fecal Microbiota Transplant in Children With Inflammatory Bowel Disease.",,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,inflammatory bowel disease,EFO:0003764,,,,Yes,No
29348587,,"Comparative analyses of fecal microbiota in Chinese isolated Yao population, minority Zhuang and rural Han by 16sRNA sequencing.",,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,,16S,Yes,No
29682571,,The Association of Gut Microbiota with Nonalcoholic Steatohepatitis in Thais.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,diabetes mellitus,EFO:0000400,,,16S,Yes,No
29269393,,Structural basis for the regulation of β-glucuronidase expression by human gut Enterobacteriaceae.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,,No,No
29302014,,The commensal microbiome is associated with anti-PD-1 efficacy in metastatic melanoma patients.,,Mus musculus,NCBITaxon:10090,,feces,UBERON:0001988,,cancer,MONDO:0004992,,,,Yes,No
29097494,,Gut microbiome influences efficacy of PD-1-based immunotherapy against epithelial tumors.,,Mus musculus,NCBITaxon:10090,,feces,UBERON:0001988,,colorectal cancer,MONDO:0005575,,,metagenomics,No,No
29097493,,Gut microbiome modulates response to anti-PD-1 immunotherapy in melanoma patients.,,Mus musculus,NCBITaxon:10090,,saliva,UBERON:0001836,,cancer,MONDO:0004992,,,,No,No
28767339,,Assessing gut microbiota perturbations during the early phase of infectious diarrhea in Vietnamese children.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,54,16S,Yes,No
29052237,,The taxonomic composition of the donor intestinal microbiota is a major factor influencing the efficacy of faecal microbiota transplantation in therapy refractory ulcerative colitis.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,ulcerative colitis,EFO:0000729,,17,16S,No,No
28829923,,High intake of dairy during energy restriction does not affect energy balance or the intestinal microflora compared with low dairy intake in overweight individuals in a randomized controlled trial.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,69,,No,No
30793576,,"[Simplified Protocols for Cholera Diagnosis in the National Public Health Laboratory, Port-au-Prince, Haiti].",,,,,feces,UBERON:0001988,,,,,,,Yes,No
27149343,,Nodular tracheobronchitis in a patient with lymphoma: an unusual presentation of viridans streptococcal respiratory tract infection.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,,No,No
29049037,,Fractures and the gut microbiome.,,Mus musculus,NCBITaxon:10090,,,,,,,,,,Yes,No
29084074,,Clinical and symptom scores are significantly correlated with fecal microbiota features in patients with symptomatic uncomplicated diverticular disease: a pilot study.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,,16S,Yes,No
28636759,,Rosacea and its association with enteral microbiota in Korean females.,,Homo sapiens,NCBITaxon:9606,,,,,,,,251,16S,No,No
30535609,,Microbiome and Gut Dysbiosis.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,obesity,EFO:0001073,,,,No,No
29161377,,Transmission and persistence of IncF conjugative plasmids in the gut microbiota of full-term infants.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,,Yes,No
27742762,,Human oral microbiome and prospective risk for pancreatic cancer: a population-based nested case-control study.,,Homo sapiens,NCBITaxon:9606,,saliva,UBERON:0001836,,cancer,MONDO:0004992,,,16S,No,No
29543544,,Abundant production of exopolysaccharide by EAEC strains enhances the formation of bacterial biofilms in contaminated sprouts.,,,,,,,,,,,,,Yes,No
29469650,,Prenatal androgen exposure causes hypertension and gut microbiota dysbiosis.,,Rattus norvegicus,NCBITaxon:10116,,feces,UBERON:0001988,,,,,,,No,No
29494275,,The gut microbiota and immune checkpoint inhibitors.,,Homo sapiens,NCBITaxon:9606,,,,,cancer,MONDO:0004992,,,metagenomics,Yes,No
29478734,,Lupus: The microbiome angle.,,,,,,,,,,,,,No,No
28479329,,Inflammatory phenotypes in patients with severe asthma are associated with distinct airway microbiology.,,Homo sapiens,NCBITaxon:9606,,,,,,,,84,16S,Yes,No
29045349,,Male-specific Association Between Fat-Free Mass Index and Fecal Microbiota in 2- to 3-Year-Old Australian Children.,,,,,feces,UBERON:0001988,,obesity,EFO:0001073,,18,16S,Yes,No
28561276,,Intestinal microbiota in patients with chronic hepatitis C with and without cirrhosis compared with healthy controls.,,Homo sapiens,NCBITaxon:9606,,,,,healthy,EFO:0000246,,57,,Yes,No
30298261,,Analyzing Metabolic Pathways in Microbiomes.,,,,,,,,,,,,other,Yes,No
30298256,,From RNA-seq to Biological Inference: Using Compositional Data Analysis in Meta-Transcriptomics.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,other,Yes,No
29195140,,"Are the decrease in circulating anti-α1,3-Gal IgG and the lower content of galactosyl transferase A1 in the microbiota of patients with multiple sclerosis a novel environmental risk factor for the disease?",,Homo sapiens,NCBITaxon:9606,,,,,multiple sclerosis,EFO:0003885,,,,Yes,No
28843021,,The nasal and gut microbiome in Parkinson's disease and idiopathic rapid eye movement sleep behavior disorder.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,healthy,EFO:0000246,,,16S,Yes,No
28612844,,NLRP3 inflammasome pathway has a critical role in the host immunity against clinically relevant Acinetobacter baumannii pulmonary infection.,,Mus musculus,NCBITaxon:10090,,,,,,,,,,No,No
29689651,,High relative abundance of firmicutes and increased TNF-α levels correlate with obesity in children.,,,,,feces,UBERON:0001988,,obesity,EFO:0001073,,,,No,No
28888753,,"The Role of Gut Microbiome in the Pathogenesis of Prostate Cancer: A Prospective, Pilot Study.",,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,cancer,MONDO:0004992,,8,,Yes,No
24316595,,Human gut microbiome and risk for colorectal cancer.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,cancer,MONDO:0004992,,94,16S,Yes,No
